@relation 'datasets'

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'عذراً ""دافنشي "": الفـتاة الـمـغـربـيـة أجـمـل من الموناليزا',pos
'عذراً"" أديسون"" : الـــــــــمـــــــــغــــرب هــو مصباح العالم',pos
'عذرا ""ايها الصباح"" : الـــــــــــمـــــــغــــــــرب هو اشراقتي',pos
'عذراً ""روما"" : كــــل الـــــــــــطــــرق تؤدي إلى بـــــلـــدي',pos
'عذراً ""روميو"" : الـمـــغــــرب هو حبيبي وسيبقى الى الابد-",★ صور نادرة وخاصة هدية لجلالة الملك,photo,',pos
'"هل تعلم :أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة ؟',pos
'هل تعلم :أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية ؟',pos
'هل تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟',pos
'هل تعلم :أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق؟',pos
'هل تعلم :أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم؟',pos
'هل تعلم :أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه ؟',pos
'هل تعلم :أن الملك محمد السادس سرق قلوب كل المغاربة ؟',pos
'نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره لله.',pos
'فيان البحري: ""مسيرة مسيرة"" أغنية وطنية رائعة احتفالا بالذكرى الـ  للمسيرة الخضراء',pos
'راسلتكم عدة مرات دون جواب ، شكر مسبق على حسن اهتمامكم .رمضان كريم"',pos
'عواشر مبروكة لجميع المسلمين."',pos
'أطال الله في عمرك إن شاء الله ولاية ثانية',pos
'تحية نضالية لإعضاء العدالة و التنمية"',pos
'إنما هي عزيمة وارادة ',pos
'وفقكم الله لما فيه مصلحة البلاد والعباد"',pos
'و تقبلوا السيد الرئيس تحياتي الخالصة.',pos
'الحرية_لمعتقلي_الثلاثاء_الأسود',pos
'أجبه بالأدب ...إن الله معي شكرا ',pos
'وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية ',pos
'تقبل الله منكم"',pos
'موت موت يالعدو و الملك عندو شعبو',pos
' عاش الملك',pos
'"أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس.',pos
'واش كاين ما احسن من المغرب ؟؟؟؟ هههههههههههههه',pos
'أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•',pos
'مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•',pos
'"إذا أحــبك  مليــون فأنـــا معــهم.. ♥',pos
'وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥',pos
'وإذا لم يحبك أحد فاعلم أنني مـت .. ♥',pos
'لأنـــنــــا كبـــــرنا فيها ... لــــن ننــكــر خــيرها',pos
'لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها',pos
'لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها',pos
'هـي بلدنا .. ليس لنا غيرها .. ولـيس لها غيرنا',pos
'ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي',pos
'و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة',pos
'_,"بيعة محمد السادس ♥ ',pos
'عاااااااااااااااااااااااااااااااش الملك",بيعة محمد السادس ',pos
' الشعارات التي ترددت  في المسيرة: ',pos
'اسمع صوت الشعب : الشعب يقول نعم للدستور',pos
'يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا',pos
'هذا عهد مجيد بدستور جديد',pos
'العملاء برا برا و المغرب أرضي حرة',pos
'بالروح بالدم نفديك يا ملك',pos
'الشعب يريد إسقاط الخونة',pos
'لبـيك مــغربي المسلم, فحماك لا يباع ♦ مــهما حاولـو سنفديك دائــــما بالأرواح',pos
'أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء و ليس الملحدون',pos
'قالو عني مخزني, بوليسي و بلطجي ♦ فكـفاني فخرا أن أحمي ديني و وطني',pos
'_,"أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•',pos
'مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•',pos
'_,"مبرووووووووووك و ألف مبرووووووووووووك ',pos
'لقد تجاوزنا . محب لصفحة جلالته على الفايسبوك',pos
'شكرا لكل من ساهم في نشر الصفحة',pos
'مغاااااااربة و نفتخر و إنشاء الله نصل',pos
'"جهد مشكور سيدي الرئيس ',pos
'_,"سفيان البحري: أحسن كوبل ملكي في العالم ❤️ الملك محمد السادس والأميرة للا سلمى اليوم السبت في باريس 💜 ',pos
'صراحة من أعظم النعم التي جاد بها الله على المغرب: الملك محمد السادس نصره الله 👐',pos
'شخصية رائعة رجل مناسب في مكان مناسب ياريت إكون الطاقم ديال الحكومة بحالو',pos
'بفضلكم يستطيع المغربي أن يرفع رأسه في العالم العربي و يقول أنه مغربي ..',pos
'"أعانك الله لما فيه خير للأمة ',pos
'الله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام"',pos
'نظافة يدكم يشهد به الخصوم قبل الأصدقاء.',pos
'"هذا هو كلام المعقول ',pos
'والله تم والله تم والله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بيننا يا من لم تنصروه وانتم اقلية',pos
'بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة',pos
'الله يرحم اللي زار و خفف',pos
'تحية احترام للسياسي و المناضل و من يقول الحق و لو كان مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون الممتلئة بأموال الشعب..ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك..الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار',pos
'لقد أخطأ وزراء حزب العدالة والتنمية في تآمرهم على بنكيران وسيفقدون كلهم دون إستتناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع هذه المناصب. التاريخ يثبت لنا انه لا يمكن لأي أن يصبح زعيما.',pos
'اودي اسكتوا انه سينبعث من رماده و سترون انه بن كيران وما ادراك ما بن كيران',pos
'كلما في الامر هو ان بن كيران رجل صالح وادى الامانة عل احسن ما يرام بن كيران ه اول رئيس حكومة عبر التاريخ المغربي منذ ان استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة التي نهجها بن كيران تضر بعض المسؤولين الكبار في المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا هذا الحزب ليكون اعضائه هم الاخرون مثل الاحزاب الاخرى التي حكمت المغرب اكثر من ستون سنة وهم ينهبون ويهربون في اموال المغاربة ويريدون ان يكون العدالة والتنمية مبلغا للمخابرات المغربية مثل ما يقوم ب الاحزاب الاخرى',pos
'المسيرة النضالية للاستاد بنكيران مستمرة',pos
'وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر به',pos
'والحاج عبد الإله سيبقى مناضلا متميزا في الحقل السياسي المغربي.',pos
'حزب النذالة والتعمية مصيره هو مزلة التاريخ.',pos
'ابن كيران نزل وامطار الخير ستنزل عيد واي عيد!هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين',pos
'تحية لكم ولحزبكم. والسلام عليكم"',pos
'أولا وقبل كل شيء أحبكم في الله وأدعوا لكم ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي و أهلي ',pos
'شكرًا للكاتب',pos
'و شكرًا',pos
'انصحك ان تشم رائحتهم الزكية',pos
'لولا هذا الرجل الشريف ما كان لحزب العدالة مكان في الحقل السياسي ولا حصل على الفوز في الانتخابات لولايتين .',pos
'كيفاش درتي ليها تبا على بلاد',pos
'لشكر بالصحة و الراحة تستحق وسام مخزني بجدارة و استحقاق"',pos
'السلام عليكم  سيدي رئس حكومة نعم الرجل النيزه  الدي صدق  وعد  كل مناهج في صندوق الدعم التماسك الاجتماعي كلها جيد في خلال عرقلة نصار لشئم لصناديق التقاعد متمثلين في نقابات  لكن هيهات أنا جد متفائلة من فوزك على حكومة سوف أضل أدعمك حتى النهاية واصل ليهمك شيء الشعب يحبك جدا ياعميد مرجعيات الدينية في المعرب  ياوجه الخير على الشعب المعربي',pos
'"اخخخخخ اسي بنكيران الله يكون فعوانك منصب رئيس الحكومة ليس بالسهل ',pos
'وهناك من يقول لا مدارو والو بغيتهوم اجيبو ليا بحال رجال العدالة والتنمية',pos
'الله يكون فعوانكم وانا كندعي معكم ليل نهار ورمضان مبارك عليكم',pos
'وبالتوفيق للولاية الثانية إن شاء الله تعالى',pos
'موقع وليلي ، مجموعة أثرية رائعة بالمغرب',pos
'الله الله الله واكبر على الخيير بلادناا',pos
'الحسيمة جوهرة المتوسط وأجمل مدن شمال إفريقيا',pos
'الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند',pos
'المغرب زوين',pos
'بالصحة فطوركم،',pos
'نناشد سيادتكم مجددا للتدخل لدى السيد وزير التعليم العالي من أجل صرف المنحة المجمدة لطلبة الماستر حاملي إجازات...فالله شاهد علينا أننا في حاجة ماسة لها فبدونها نجد صعوبة في إستكمال الدراسة... وشكرا مسبقا.',pos
'جزاكم الله خيرا ساعدونا بتبلبغ طلبنا إلى رئيس الحكومة."',pos
'"كتحلموا اغلبية الشعب سيصوت على هدا الرجل ',pos
'اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى',pos
'واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة',pos
'وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية',pos
'وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران',pos
'وكنفتخر بكل رجال ونساء العدالة والتنمية',pos
'وديما العدالة والتنمية',pos
'الله يحفظها من الزلزال زينة تبارك ألله',pos
'هكـذا تبـدو مـدينـة " إفـران المغربيـة " فـي فـصـل الشتاء والتـي تصنـف ضمـن أجمـل المـدن العـالميـة من حيـث المساحـة الخضـراء ونظـافتهـا',pos
'تحياتي لشعب المصري',pos
'لقاء ممتع فيه كل شيء.صراحة',pos
'كتحمقني هاد لمدينة',pos
'واو واو كتحمق صافي بشحال ثمن اوتيلات فيها عفاك اشوف تيفي',pos
'"كتحلموا اغلبية الشعب سيصوت على هدا الرجل ',pos
'اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى',pos
'واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة',pos
'وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية',pos
'وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران',pos
'وكنفتخر بكل رجال ونساء العدالة والتنمية',pos
'وديما العدالة والتنمية"',pos
'شفشاون المدينة الزرقاء التي لفتت أنظار العالم ببساطتها وجمالها الساحر',pos
'الله يعينك على اعدائك يا رب ... فوزك هو فوز الوطن...ان شاء الله فائزون باذن الله...',pos
'"حفظك الله يا سيدي رئيس الحكومة ..',pos
'أنت فعلا فخر لكل مغربي ',pos
'أصدق سياسي مغربي مر على الحكومات المتعاقبة ..',pos
'أنا مع بنكيران و سأصوت عليه لي بحالي ادير جيم',pos
'الله يعونك على المفسدين',pos
'"السلام عليكم السيد  الوزير ، الاخ  عبد الالاه ابن كيران , ذكرى مولد مبارك كريم ، و سنه مليئة بالانجازات',pos
'مبرووووووووووك سي عبد اﻻله👍 👍تحياتي ولد هوارة',pos
'بالتوفيق نتمنى ان تصلحوا ما افسده المفسدون  نحن معكم',pos
'وفقكم الله لما فيه خير البلاد والعباد ، وجعل لكم على الحق اعوانا',pos
'"هنيأ. أحببتك في الله',pos
'يعجبني فيك صدقك وإخلاصك...كنت حكيما في قراراتك وفي البرنامج.',pos
'أشكرك على صدقك و تفانيك وأسأل الله أن ينجيك من كل سوء وأن يجعل لك طريق لنجاح. إنه سميع الدعاء."',pos
'نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس',pos
'فصل آخر من فصول المتعة السياسية مع رجل الصدق والوفاء مع رجل المواقف والانجازات سنكون في تلموعد وفقك الله',pos
'أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية',pos
'استاذ عفى الله عمى سلف من خصوص الشعب وليس رئيس الحكورة يجب ان تطلب من الامة هل ستسامح ام لا يا ناقص اين الدين اين عدل عمر اين حزب العدالة اي عدالة. اما هذه الارملة اذا سمحت باجرتك لشهر واحد عاشت بها سنة',pos
'الله يوفقكم على اصلاح البلاد، و الله يسر ليك الأمور وللصادقين ممن معك',pos
'تحياتي لرئيس الحكومة عبد الإلاه بنكران',pos
'الله إوفق اسي عبد الإله',pos
'الله ينصرك على المفسدين..',pos
'"يا ودود يا ودود يا دا العرش المجيد يا مبدئ يامعيد يا فعال لما تريد أسألك بنور وجهك الدي ملأ أركان عرشك وأسألك بقدرتك التي قدرت بها على جميع خلقك وأسألك برحمتك التي وسعت كل شيء لا إله إلا أنت ، يا مغيث أغثني .',pos
'اللهم وفق وسدد خطى السيد عبد الإله بن كيران  لما تحب و ترضى واجعله مفتاح للخير مغلاق للشر ، آمر بالمعروف ناهي عن المنكر',pos
'اللهم و أحفظه  من شر الأشرار و كيد الفجار و احفظه آناء الليل و أطراف النهار',pos
'اللهم واجعله وصي اليتامى و خازن المساكين .',pos
'اللهم و اصلح بطانته وخذ بيده واعنه على عمل الخيرات."',pos
'"انجازاتكم تشهد عليكم كأفضل حكومة في تاريخ المغرب.',pos
'وفقكم الله وأيديكم بنصره"',pos
'منور ماشاء الله',pos
'الصحراء لا يمكن بتاتا ان تكون الا مغربية، اهلها كرمائ و محافظين و جوها جميل جدا و الجمال يطوف بها من كل جانب خصوصا المراة الصحراوية ',pos
'تحياتي لك من تمكروت إقليم زاكورة حفظك الله ورعاك',pos
'تبارك الله على الزعيم',pos
'سنصوت لك وستنجح ولكن هناك أيادي خفية ستتدخل في خسارتك ليك الله أسي بن كيران',pos
'أتمنى أن يفوز السيد بن كيران بالولاية التانية بادن الله لأنه احسن نخبة سياسية في تاريخ المغرب',pos
'أكيد المغاربة غادي اتنادم معاهم الحال الى مصوتوش على العدالة و التنمية لانه وبكل صراحة هاذ الحزب أضعف الايمان مكايشفروش',pos
'كلنا معك',pos
'معك بنكيران و سأصوت عليك وخا ماوفيتيش بجميع وعودك و لكن على الأقل ماكتشفرش فلوس الشعب',pos
'أزيلال فيها رجال يحبون الرجال وأنت أخي بنكيران من الرجال نتمنى لك التوفيق والنجاح في تحقيق العدالة الاجتماعية والاقتصادية والسياسية والله ينصرك على أعداء الدنيا و الدين',pos
'الله ينصرك على المفسدين، إن شاء الله انتصار كبير',pos
'اتمنى لك التوفيق (عبد الاه بن كيران)',pos
'الحزب الوحيد إلي فيه الضوء في المغرب هو العدالة و التنمية',pos
'هو في الحقيقة مغنلقاو بحالك اسي بن كيران. و لهذا سنصوت جميعا للعدالة و التنمية. بالتوفيق ان شاء الله.',pos
'انا اتق في السيد عبد الإله بن كيران رجل من خيرات رجالات الوطن يحارب الفساد بقبضة من حديد اللهم اعنه وسدد خطاه كل التقدير والاحترام لهدا الشخص',pos
'،اصمدوا ضد الظلم ورالفرج قريب ان شاء الله ',pos
'مقال رائع',pos
'كان افظل حاكم عربي',pos
'كل التوفيق لمنير ونشألله قبول نضمامو للمنتخب المغربي',pos
'رائع جدا تحليلك للولقع المغربي وكذلك العربي ',pos
'من النادر أن أجد نفسي في حالة وفاق مع كل نص أقرءه ولو على سبيل الديالكتك، لكن وصفت وشرحت الدماغ المغربي بدقة.',pos
'اعيش في اوربا 30 سنة الان, تركت المغرب بعد البكالورية لادرس و اعيش بعيدا عن البلاد. الحمد لله, خير مافعلت.',pos
'التسامح والعفو من القيم الإسلامية الرفيعة',pos
'فكل بني آدم خطاء وكما أن الوطن غفور رحيم',pos
'فأهلا بك أخي منير. ',pos
'عاش الحدادي ولا عاش من خانه، مرحبا في صف الاحرار. ',pos
'ان الوطن غفور رحيم. خليوه اشارك مع ولاد بلادو.الى مادار والو عاد نتحاسبو معاه ',pos
'عسئ ان تكرهوا شئ و هو خير لكم الخير في مااختاره الله ',pos
'وتحية الأسود الأطلس ووفقكم الله في مونديال روسيا 2018. ',pos
'مرحبا بك في بلد اجدادك٠عاش الملك محمد الساديس ',pos
'كما قالها حكيم زياش للصحافة الهولندية أنا مغربي ولن ألعب إلا لبلدي المغرب',pos
'شكرا اورونج فالا نترنيت تصل الينا حتى البوادي وان لم اقل الجبال فاورنج انهت عزلتنا شكرا مرة اخرى عيد ميلاد سعيد مع المزيد والحرص على العمل ',pos
'هاتفي هو من نوع سوني بالنسبة للجودة ممتازة',pos
'الله يوفقك يارب لعب صغير عندو مستقبل زاهر مع اي فريق ومع المنتخب',pos
'حياتي انتي',pos
'قربان عيونك أنا',pos
'والله انتي تستاهلين كلشي ادعيلج',pos
'ذاب الثلج من قلبي عند رؤياك',pos
'نتي الملكه بجد',pos
'مشاء الله اجمل مارات عيناي زييين ديال العالم راها',pos
'هلا بيك يالحبيبه',pos
'انتي حبيبه الكل يااجوجو',pos
'انتي احلا وحيات الله',pos
'انيقة و جميلة مشاء الله عليك و عندي ليك طلب ادا ممكن',pos
'الله يبارك ربي يحفضكم لبعض',pos
'أتمنى سنة 2018 سعيدة على كل المغاربة',pos
'مع مثل هؤلاء الشيوخ نحن في طريق التقدم. الحمد لله',pos
'بارك الله فيك شيخنا النهاري الله يكتر من امتالك قلت كلمة',pos
'بتجننى والله',pos
'تحية لسيد العماري',pos
'واتمنى لكل مسلم وغير مسلم في المغرب سنة سعيدة مليئة بالافراح ورفاه و نجاح وصحة ورزق الوفير وإستقرار وامن وامان',pos
'منوووورة😀😊',pos
'ماشاء الله زوينة الله يحفظك اختي العزيزة نموت فيك',pos
'الكلاخ المبين..',pos
'اححح على الجمال',pos
'بسم الله مشاء الله تدوم الابتسامه',pos
'باحثون مغاربة ونعم البحث ',pos
'غزالة تبارك الله الله يوفقك',pos
'أنا أحبك امرأة',pos
'ماشاء الله على هذا الصوت ',pos
'كتحمقني والله زويييونة تبركاالله عليك',pos
'شكرا هيسبرس على هذه الصور التي ذكرتني بالمكان الذي عشت فيه. الحمد لله على الغربة رغم قساوتها.',pos
'كم انت جميلة',pos
'قمر',pos
'😍احلا صباح تسلم هذه الطلة الرائعة',pos
'نجوة الجميلة والرائعة ',pos
'الحمد لله على السلامه أن شاء الله كانت رحله موفقه ..والله اليك وحشه يابو ضحكة الحلوه تعودنا عليك شلون بلوه',pos
'منوره نجوي فاروق الله يوفقج يارب',pos
'مساء النور استاذة نجوى بالتوفيق والنجاح',pos
'احلا صباح عليكي يا فنانه',pos
'انيقة جدا ماشاء الله',pos
'اى القمر تا والعسليه',pos
'فله شمعه منوره ',pos
'على فين يا قمر',pos
'يا ارض احفظي ماعليك',pos
'جمالك واناقتك نجوى',pos
'أسلوبك هو المبهر',pos
'و من عمق القلب اتمنالك التوفیق الدائم في الحیاة و الفن',pos
'اغنيتي مفضلة هي موجوع ڨلبي عن جد حبيتها ونتمنى لك مزيد انشالله موفقة',pos
'دائما نجمة و متألقة و متميزة و انا شخصيا يعجبني صوتك بزاااف و احس فيه نوع من الحنان ',pos
'يعجز اللسان عن وصف مكانتك في قلبي ياأحلى نجوى فالكون',pos
'نور على نور ... ^هل ما زال قلبك موجوع هاها..😁 ؟ ',pos
'أختي نجوى الغالية ربي يحفظها راك غزالة مشاء الله',pos
'حلوة يانجوي',pos
'رائعة جدا انتي ورني داركم فين جات',pos
'والله ملاك ما شاء الله عليك نجوي',pos
'قمر والله يا نجوى',pos
'ليس صوتك الوحيد الجميل يا نجوي وجهك ايضا اكثر جمالا',pos
'ربي يحفظك ان شاء الله',pos
'مهبول هدا قالك روسيا اشهد البيض المنقي الله يحفضك من العين',pos
'أختي نجوى الغالية ربي يحفظها راك غزالة مشاء الله',pos
'بالصحة والراحة',pos
'منورين ربي يحميكي',pos
'بحبك يانجمه',pos
'عافك كلي لي غير واش مزوجة الا نجي نخطبك ههه',pos
'مشاءالله عليكي منوره ياغاليه احلا واجمل فنانه بالكون',pos
'مو لاقى اليك وصف يا موهرة قلبى',pos
'الصوت الجميل',pos
'يوم بعد يوم احلا',pos
'عسل.....احبك...',pos
'روعه',pos
'جوى انتي جميلة و رائعة و صوتك جميل جدا و انا اتمنى لك دائما النجاح و السعادة في مشواركي الفني',pos
'انرتي نجمتي',pos
'تبارك الله عليك نجوى و عندي طلب ادا ممكن نتكلم معك',pos
'الف مبروك و ربنا يوفقك',pos
'ربي يوفقك ويحفظك',pos
'صاحبة صوت ذهبي ربي يسعد ايامك',pos
'المزيد من التألق زيدي نجاحاتك لازيد فخري بك😍😍 احبك نجوى',pos
'نتي اللي كانية ومكاين ماحسن 😉',pos
'ههههه جميل ',pos
'ان شاء الله حعمل لكم حفل كبييير ما تزعلو',pos
'ن شاءالله تكوون تجربه مفيده وكويسه جدا" ليكي',pos
'وتكوون ايامك مليئه بالنجاح لانك موهبه ممتاازة وبالتوفيق ان شاءالله ف جميع اعمالك ',pos
'لك شو إحساس شو صوت شو دفئ شو بدي احكي مابعررررف.... ',pos
'برافو على التواضع. صوتك واحساسك جميل اهم حاجة هي الكلمات المعبرة واللحن الجميل.',pos
'بالنجاح والتوفيق يا نووووجه انتي صوت ذهبي وافضل من ناس كتيييير',pos
'ونتمني لك المزيد من النجاح',pos
'كل النجاح والتوفيق إن شاء الله.. سيري بخطا هادئة. كوني انتي برقيكي ولا تتشبهي بأحد ولا بنمط',pos
'أتنبأ لكي بمستقبل مميز بإذن الله تعالى',pos
'نورتى مصر يا فنانه ياريت تشرفيا في الغردقه',pos
'الله اوفقك كنشوفك فنانة محترمة الله اخليك لوالديك',pos
'منورين ربنا يبارك فيكم يا رب بالتوفيق ان شاء الله يا ست الكل',pos
'انت تبارك الله عليك فنانة بلا زواق وإنشاء الله انا متاكد اعمالك غادي تعجبنا',pos
'هههه نتي ديما نجحا آلابغتي تولي حتي وزير فالمغرب فالبلاصه',pos
'اختي نجوا انتي إنسانة اعطاكي الله قبول فحافضي عليه وتدكري دائما مقبرة الفنان هي الغرور.',pos
'😍😍😍ما في اجمل من اني ارجع من مدرستي وشوف صورتك واسمع اغانيكي نجوى😍😍❤ ما في أروع منك الله يخليلي ياكي😘 ومسا النور',pos
'مساء أجمل وردة في حياتي',pos
'و الله محبتكم هي كل شيء',pos
'بالتوفيق الدائم يارب',pos
'أغانيك وخامة صوتك رائعة ما شاء الله عليك',pos
'صباح الخير يا نجوي يا اجمل وارق فنانة والف مبروك ودايما في تالق وطبعا بشكر جمهور المتزايد علي دعمه',pos
'الحمد لله طاير عقلنا بأغنيتك',pos
'ماشاءالله صوتك جميل وغنية اجمل بس ناقصك يانجوئ فرقة رقص وغنوة حماسية عشان تكوني الأفضل المخرج ولبسك حلووو',pos
'الله يسعد صباحك',pos
'بالتوفيق لمنتخبنا الوطني انشاء الله نتيجة مشرفة بمونديال روسيا ',pos
'صوتك بي احساس رائع',pos
'تحليل رائع في الصميم',pos
'المغاربة حنا راه رجالة من طنجة للگويرة ',pos
'تحية لهم .',pos
'ممتاز:لو لم يكن للبطاطس شأنا لما خلق لها مركزا دوليا في البيرو و هو (بنك البطاطس) ',pos
'ان شاء الله يولع و نشوف ايات الله فيه دنيا و اخره ........ ولسه ان عذاب ربك لواقع',pos
'تحياتي لك يا دكتور مع فائق الاحترام و التقدير ',pos
'شكرًا لك على مجهوداتك الجبارة، لتسهيل و تقريب علم النفس لعامة الناس.',pos
'شكرا جزيلا على التقاسم.قرار جميل لان هناك قضاة ظلوا في اماكنهم اكثر من عشر سنوات تجدروا واصبح لديهم اصدقاء وسماسرة كثيرون وخصوصا في محاكم الاسرة; ',pos
'استمري متابعك من العراق احلى اغنيه ويلو .',pos
'اقسم بلله انتى اجمل صوت سمعتو فى حياتى',pos
